"customer_unique_id","anchor_date","offer_type","offer_cost","net_ev","p0_60d_final","p1_60d","delta_p","expected_order_value_safe","rn","decision_rank","cumulative_cost","cumulative_net_ev","total_budget","is_selected"
da122df9eeddfedc1dc1f5349a1a690c,2017-04-17,free_shipping,91.815,166.76500000000004,0.47619047619047619048,0.54619047619047619048,0.07000000000000000000,3694.0,1,1,91.815,166.76500000000004,10000.0,true
d77aa95864ae5b42160937615628723a,2017-09-05,free_shipping,25.05,22.95,0.52747252747252747253,0.56747252747252747253,0.04000000000000000000,1200.0,1,2,116.865,189.71500000000003,10000.0,true
a1044dd75b74fbc485b040575a14acf0,2017-12-26,free_shipping,37.44,4.135000000000005,0.52547770700636942675,0.57547770700636942675,0.05000000000000000000,831.5,1,3,154.305,193.85000000000002,10000.0,true
"6a583f4c6790a4c8330beb7612e17f42",2018-05-17,free_shipping,0.0,1.2221221349518019,0.51508620689655172414,0.52508620689655172414,0.01000000000000000000,122.21221349518018,1,4,154.305,195.07212213495183,10000.0,true
"728e4a7d0db4845270091ded0923c71f",2017-01-16,discount_5_percent,0.27,-0.10800000000000001,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,5.4,1,5,154.57500000000002,194.96412213495182,10000.0,false
"93360190b9375a40b65720ee99387a4a",2017-10-03,discount_5_percent,0.34750000000000003,-0.13900000000000004,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,6.95,1,6,154.9225,194.8251221349518,10000.0,false
"83e7958a94bd7f74a9414d8782f87628",2017-01-17,discount_5_percent,0.48250000000000004,-0.19300000000000006,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,9.65,1,7,155.405,194.6321221349518,10000.0,false
"12f5d6e1cbf93dafd9dcc19095df0b3d",2017-01-17,discount_5_percent,0.48666666666666664,-0.19466666666666665,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,9.733333333333333,1,8,155.89166666666668,194.43745546828512,10000.0,false
"031e19fc630c4121f1238716f41675c3",2018-07-06,discount_5_percent,0.505,-0.202,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,10.1,1,9,156.39666666666668,194.23545546828512,10000.0,false
"6222ef69df52b4ed71be551725551cc0",2017-01-17,discount_5_percent,0.5116666666666667,-0.20466666666666672,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,10.233333333333334,1,10,156.90833333333333,194.03078880161846,10000.0,false
d753459418d268407f19b64be28e3c5a,2017-01-16,discount_5_percent,0.52,-0.20800000000000002,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,10.4,1,11,157.42833333333334,193.82278880161846,10000.0,false
f497dd3ee9e4ef33b42acd82713e4bf3,2018-06-07,discount_5_percent,0.54,-0.21600000000000003,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,10.8,1,12,157.96833333333333,193.60678880161845,10000.0,false
d7624d219b6ffad980e91412174db310,2017-04-11,discount_5_percent,0.6122500000000001,-0.24490000000000006,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,12.245000000000001,1,13,158.58058333333332,193.36188880161845,10000.0,false
"87cbc22f48d2542614a44cd025238a35",2017-11-25,discount_5_percent,0.6495000000000001,-0.2598000000000001,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,12.99,1,14,159.2300833333333,193.10208880161844,10000.0,false
c6df3869c263531ebd51f0454a353605,2017-04-17,discount_5_percent,0.67,-0.26800000000000007,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,13.4,1,15,159.9000833333333,192.83408880161844,10000.0,false
"5ffbc70da7ad1808b6899421caa84fbe",2017-05-23,discount_5_percent,0.6990000000000001,-0.27960000000000007,0.52747252747252747253,0.55747252747252747253,0.03000000000000000000,13.98,1,16,160.5990833333333,192.55448880161845,10000.0,false
"0e850ed5adc4abe0346435eda5b1a626",2018-04-30,discount_5_percent,0.7150000000000001,-0.2860000000000001,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,14.3,1,17,161.31408333333331,192.26848880161845,10000.0,false
e0836a97eaae86ac4adc26fbb334a527,2018-08-04,discount_5_percent,0.7245,-0.28980000000000006,0.53105590062111801242,0.56105590062111801242,0.03000000000000000000,14.49,1,18,162.03858333333332,191.97868880161843,10000.0,false
"6eefa309faab7725bf4b9dce147e4ae6",2017-12-23,discount_5_percent,0.745,-0.29800000000000004,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,14.899999999999999,1,19,162.78358333333333,191.68068880161843,10000.0,false
"7779fdf670bfe673e064b9aa5447674e",2017-05-26,discount_5_percent,0.7497500000000001,-0.2999000000000001,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,14.995000000000001,1,20,163.53333333333333,191.38078880161842,10000.0,false
dc0274a25d881c813da7d55b7faace37,2018-03-11,discount_5_percent,0.7775000000000001,-0.31100000000000005,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,15.55,1,21,164.31083333333333,191.06978880161842,10000.0,false
"4ced1b9f8668a9792e5484da6d97b229",2017-11-03,discount_5_percent,0.78,-0.31200000000000006,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,15.6,1,22,165.09083333333334,190.7577888016184,10000.0,false
"2d0aa39055b967248bf551e220b55f59",2018-03-08,discount_5_percent,0.781,-0.31240000000000007,0.50593667546174142480,0.53593667546174142480,0.03000000000000000000,15.62,1,23,165.87183333333334,190.4453888016184,10000.0,false
