"avg_freight_bucket","n_customers","used_fallback","p0_60d_final"
"10-20",1516,0,0.50593667546174142480
"20-30",455,0,0.52747252747252747253
"0-10",322,0,0.53105590062111801242
"31-50",314,0,0.52547770700636942675
"51-100",147,0,0.47619047619047619048
"100+",29,1,0.51508620689655172414
Free,1,1,0.51508620689655172414
