"scenario_id","decision_month","customer_unique_id","anchor_date","recommended_offer_type","final_policy_name","is_selected","net_ev_scn","incremental_profit_scn","expected_margin_value_scn","offer_cost_scn","expected_offer_cost_scn","p_offer_scn","priority_rank","cut_by_buffer_flag","missing_p_offer_flag","budget_amount","spend_expected_selected","spend_p95_selected","roi_expected","p95_overspend_flag_month","raw_overspend_flag_month"
BASE,2017-08-01 00:00:00.000 +0300,"59d66d72939bc9497e19d89c61a96d5f",2017-08-24,free_shipping,p95_buffer,1,10.885743243243244,13.175675675675677,650.0,26.07,2.2899324324324324,0.08783783783783784,1,0,0,32.314546099129,5.906842751842752,23.213071594873515,3.1964537559103685,0,1
BASE,2017-08-01 00:00:00.000 +0300,ca6d9bc2e717c2a0aa19d77a3bfa5398,2017-08-11,free_shipping,p95_buffer,1,2.0543434343434352,4.43888888888889,199.75,19.35,2.3845454545454547,0.12323232323232323,2,0,0,32.314546099129,5.906842751842752,23.213071594873515,3.1964537559103685,0,1
BASE,2017-08-01 00:00:00.000 +0300,"0b3dc7efaafb0cf78a4796d42fa8d74c",2017-08-08,free_shipping,p95_buffer,1,0.034020270270270325,1.2663851351351352,62.475,14.03,1.2323648648648649,0.08783783783783784,3,0,0,32.314546099129,5.906842751842752,23.213071594873515,3.1964537559103685,0,1
BASE,2017-09-01 00:00:00.000 +0300,"165d93a9d1da194b47da42c9cf810ebd",2017-09-16,free_shipping,p95_buffer,1,0.9264595959595963,2.774944444444445,124.8725,15.0,1.8484848484848486,0.12323232323232323,1,0,0,27.688446218935482,5.8518907998908,21.676980296903064,1.2336110590686207,0,1
BASE,2017-09-01 00:00:00.000 +0300,"1d72aaec15863f7532b2dbf4a5c4247d",2017-09-11,free_shipping,p95_buffer,1,0.22422297297297278,1.6717905405405404,82.475,16.48,1.4475675675675677,0.08783783783783784,2,0,0,27.688446218935482,5.8518907998908,21.676980296903064,1.2336110590686207,0,1
BASE,2017-09-01 00:00:00.000 +0300,"04d3c2795b83634312bf3f86f41f7901",2017-09-06,free_shipping,p95_buffer,1,0.2163838383838388,2.7722222222222226,124.75,20.74,2.555838383838384,0.12323232323232323,3,0,0,27.688446218935482,5.8518907998908,21.676980296903064,1.2336110590686207,0,1
BASE,2017-10-01 00:00:00.000 +0300,"98758d88bf4b8eef1372ddee45d63178",2017-10-16,free_shipping,p95_buffer,1,0.20983108108108173,4.10016891891892,202.275,44.29,3.890337837837838,0.08783783783783784,1,0,0,33.44740652514579,5.313310810810811,27.27240616346569,1.0481707084451342,0,1
BASE,2017-10-01 00:00:00.000 +0300,"664fe7916cb8709c6b848383c6361dcc",2017-10-30,free_shipping,p95_buffer,1,0.046114864864864824,1.4690878378378378,72.475,16.2,1.422972972972973,0.08783783783783784,2,0,0,33.44740652514579,5.313310810810811,27.27240616346569,1.0481707084451342,0,1
BASE,2017-12-01 00:00:00.000 +0300,"2fe074ea3cc24b8fd57d29effc995f8b",2017-12-14,free_shipping,p95_buffer,1,0.3569763513513511,4.86481418918919,239.9975,51.32,4.5078378378378385,0.08783783783783784,1,0,0,49.42524215239985,4.5078378378378385,28.404068130358823,1.0791901492895257,0,1
BASE,2018-01-01 00:00:00.000 +0300,ee3adea169ca02ca9bd1e80bc620856e,2018-01-04,free_shipping,p95_buffer,1,2.2876767676767686,3.9944444444444454,179.75,13.85,1.7067676767676767,0.12323232323232323,1,0,0,40.94318845122896,5.2347134862134865,19.42625989946326,1.7010096295621604,0,1
BASE,2018-01-01 00:00:00.000 +0300,"071fb07419a29c8ba143831082e0320a",2018-01-15,free_shipping,p95_buffer,1,0.8486148648648648,2.0265202702702703,99.975,13.41,1.1779054054054054,0.08783783783783784,2,0,0,40.94318845122896,5.2347134862134865,19.42625989946326,1.7010096295621604,0,1
BASE,2018-01-01 00:00:00.000 +0300,"2b6ce149982204423f4efac29701255a",2018-01-22,free_shipping,p95_buffer,1,0.5332929292929296,2.8833333333333337,129.75,19.07,2.350040404040404,0.12323232323232323,3,0,0,40.94318845122896,5.2347134862134865,19.42625989946326,1.7010096295621604,0,1
BASE,2018-02-01 00:00:00.000 +0300,cb4f48aa5b4657435b012a65f2a122eb,2018-02-24,free_shipping,p95_buffer,1,2.2660472972972965,4.053547297297297,199.975,20.35,1.7875000000000003,0.08783783783783784,1,0,0,38.585132585402334,1.7875000000000003,11.263109634699962,2.267718767718767,0,0
BASE,2018-03-01 00:00:00.000 +0300,b248c92ec54199bedb1d603e0e6f98c6,2018-03-06,free_shipping,p95_buffer,1,4.627959595959598,7.7777777777777795,350.0,25.56,3.1498181818181816,0.12323232323232323,1,0,0,59.47161976155465,7.096372235872236,28.650682028223088,1.7092965816376593,0,1
BASE,2018-03-01 00:00:00.000 +0300,"54732c804725f94304b9f2d1107a3d6e",2018-03-29,free_shipping,p95_buffer,1,0.326081081081081,1.3125,64.75,11.23,0.986418918918919,0.08783783783783784,2,0,0,59.47161976155465,7.096372235872236,28.650682028223088,1.7092965816376593,0,1
BASE,2018-03-01 00:00:00.000 +0300,e35b2a3c980b6e0fc66c66b8e1122e93,2018-03-26,free_shipping,p95_buffer,1,0.07939189189189122,3.039527027027027,149.95,33.7,2.9601351351351357,0.08783783783783784,3,0,0,59.47161976155465,7.096372235872236,28.650682028223088,1.7092965816376593,0,1
