"scenario_id","decision_month","budget_amount","z_value_used","selected_customers","spend_expected_selected","spend_p95_selected","spend_raw_if_all_redeem_selected","incremental_profit_selected","net_ev_selected","budget_util_expected","budget_util_p95","roi_expected","p95_overspend_flag_month","raw_overspend_flag_month","missing_p_offer_rows","avg_p_offer_selected"
BASE,2017-08-01 00:00:00.000 +0300,32.314546099129,1.645,3,5.906842751842752,23.213071594873515,59.45,18.880949699699702,12.97410694785695,0.18279206935857176,0.7183474440168355,3.1964537559103685,0,1,0,0.09963599963599963
BASE,2017-09-01 00:00:00.000 +0300,27.688446218935482,1.645,3,5.8518907998908,21.676980296903064,52.22,7.2189572072072075,1.3670664073164078,0.21134774965771927,0.7828890117379964,1.2336110590686207,0,1,0,0.11143416143416145
BASE,2017-10-01 00:00:00.000 +0300,33.44740652514579,1.645,2,5.313310810810811,27.27240616346569,60.489999999999995,5.569256756756758,0.25594594594594655,0.15885568905966624,0.815381788808118,1.0481707084451342,0,1,0,0.08783783783783784
BASE,2017-12-01 00:00:00.000 +0300,49.42524215239985,1.645,1,4.5078378378378385,28.404068130358823,51.32,4.86481418918919,0.3569763513513511,0.09120517455307924,0.5746874854507852,1.0791901492895257,0,1,0,0.08783783783783784
BASE,2018-01-01 00:00:00.000 +0300,40.94318845122896,1.645,3,5.2347134862134865,19.42625989946326,46.33,8.90429804804805,3.6695845618345633,0.1278530980177329,0.474468663392046,1.7010096295621608,0,1,0,0.11143416143416145
BASE,2018-02-01 00:00:00.000 +0300,38.585132585402334,1.645,1,1.7875000000000003,11.263109634699962,20.35,4.053547297297297,2.2660472972972965,0.04632613341534179,0.2919028361447451,2.267718767718767,0,0,0,0.08783783783783784
BASE,2018-03-01 00:00:00.000 +0300,59.47161976155465,1.645,3,7.096372235872236,28.650682028223088,70.49000000000001,12.129804804804806,5.03343256893257,0.11932367512982514,0.4817538540751884,1.7092965816376593,0,1,0,0.09963599963599963
BASE,2018-04-01 00:00:00.000 +0300,52.90745832048408,1.645,3,7.7021115206115205,31.259067530666147,73.55,10.91373873873874,3.2116272181272194,0.14557704650932946,0.5908253490711277,1.416980098189,0,1,0,0.09963599963599963
BASE,2018-05-01 00:00:00.000 +0300,51.80920640312676,1.645,5,10.735732596232596,36.264903019084635,110.46000000000001,12.284553303303303,1.5488207070707076,0.2072166964438328,0.6999702473129563,1.1442678171412561,0,1,0,0.101995631995632
BASE,2018-06-01 00:00:00.000 +0300,55.9327603145241,1.645,7,9.697475293475293,28.693715669121993,102.21000000000001,11.94280593093093,2.2453306374556377,0.17337737738927828,0.5130037478531356,1.2315376496979944,0,1,0,0.09795054795054794
BASE,2018-07-01 00:00:00.000 +0300,49.673009997903144,1.645,8,12.634863909363908,34.39956233617732,118.94999999999999,18.966029791154796,6.331165881790883,0.25436074660861635,0.6925201902930673,1.5010869865482885,0,1,0,0.11229013104013104
BASE,2018-08-01 00:00:00.000 +0300,58.72735155131334,1.645,3,4.038783783783784,16.741348952587376,45.980000000000004,6.274611486486487,2.235827702702703,0.06877176778957714,0.2850690267883021,1.5535893532305014,0,0,0,0.08783783783783784
LIFT_075,2017-08-01 00:00:00.000 +0300,32.314546099129,1.645,2,4.434866400491401,20.08175622614217,45.42,13.21092342342342,8.776057022932019,0.13724055992885936,0.6214463345559247,2.978877429534201,0,1,0,0.10022351897351897
LIFT_075,2017-09-01 00:00:00.000 +0300,27.688446218935482,1.645,1,1.7651515151515151,9.716053214059645,15.0,2.081208333333333,0.31605681818181797,0.06375047199089016,0.35090640829874603,1.1790536480686693,0,0,0,0.11767676767676767
LIFT_075,2018-01-01 00:00:00.000 +0300,40.94318845122896,1.645,2,2.739772556647557,12.270721550371444,27.259999999999998,4.515723536036035,1.7759509793884785,0.06691644349855999,0.29970117166102445,1.6482110987933862,0,0,0,0.10022351897351897
LIFT_075,2018-02-01 00:00:00.000 +0300,38.585132585402334,1.645,1,1.6843750000000002,10.908104623410019,20.35,3.0401604729729725,1.3557854729729724,0.04365347187214899,0.282702271380475,1.804919019204733,0,0,0,0.08277027027027027
LIFT_075,2018-03-01 00:00:00.000 +0300,59.47161976155465,1.645,2,3.937328316953317,18.410269063725558,36.79,6.817708333333332,2.8803800163800153,0.06620516361820361,0.3095639422221833,1.731556980904462,0,0,0,0.10022351897351897
LIFT_075,2018-04-01 00:00:00.000 +0300,52.90745832048408,1.645,2,3.1841722972972972,16.781781665891042,38.47,4.860304054054053,1.6761317567567557,0.06018380769700455,0.31719122782720544,1.5263948053877123,0,0,0,0.08277027027027027
LIFT_075,2018-05-01 00:00:00.000 +0300,51.80920640312676,1.645,2,4.104010885885886,21.28304509137793,45.64,4.251787725225224,0.1477768393393386,0.0792139307047599,0.41079658556772386,1.0360079062771392,0,0,0,0.10022351897351897
LIFT_075,2018-06-01 00:00:00.000 +0300,55.9327603145241,1.645,3,4.017813643188644,16.406722722661875,44.160000000000004,4.4611162725225215,0.4433026293338782,0.07183292261271317,0.2933293946231638,1.110334293399945,0,0,0,0.0944057694057694
LIFT_075,2018-07-01 00:00:00.000 +0300,49.673009997903144,1.645,5,7.363123907998908,24.580831625483214,77.69,10.127707488738737,2.7645835807398287,0.1482318850480317,0.49485287133839584,1.3754634059242887,0,1,0,0.09673286923286924
LIFT_075,2018-08-01 00:00:00.000 +0300,58.72735155131334,1.645,3,3.805777027027027,16.170683471856513,45.980000000000004,4.705958614864864,0.9001815878378374,0.06480416580171691,0.27535182576260553,1.2365303015508071,0,0,0,0.08277027027027027
LIFT_125,2017-08-01 00:00:00.000 +0300,32.314546099129,1.645,3,6.217552211302212,23.92525291240432,59.45,23.601187124624627,17.383634913322414,0.19240722714250963,0.7403864760783132,3.7958968935914355,0,1,0,0.10486622986622988
LIFT_125,2017-09-01 00:00:00.000 +0300,27.688446218935482,1.645,3,6.1339598689598684,22.28486026191957,52.22,9.023696509009008,2.88973664004914,0.2215349976830768,0.8048432940480232,1.4711045885174907,0,1,0,0.11682705432705433
LIFT_125,2017-10-01 00:00:00.000 +0300,33.44740652514579,1.645,2,5.619847972972973,28.14067735678227,60.489999999999995,6.961570945945947,1.3417229729729743,0.16802044035157007,0.841341086808213,1.238747200889704,0,1,0,0.09290540540540541
LIFT_125,2017-12-01 00:00:00.000 +0300,49.42524215239985,1.645,1,4.767905405405406,29.275423437973906,51.32,6.081017736486488,1.313112331081082,0.09646701154652612,0.5923172484963218,1.2754065400694397,0,1,0,0.09290540540540541
LIFT_125,2018-01-01 00:00:00.000 +0300,40.94318845122896,1.645,3,5.4855584561834565,19.965426037609376,46.33,11.13037256006006,5.6448141038766035,0.13397975740745713,0.4876373040998493,2.02903180213377,0,1,0,0.11682705432705433
LIFT_125,2018-02-01 00:00:00.000 +0300,38.585132585402334,1.645,1,1.8906250000000002,11.608629519929247,20.35,5.066934121621623,3.176309121621623,0.048998794958534576,0.3008575775717579,2.680031270940362,0,0,0,0.09290540540540541
LIFT_125,2018-03-01 00:00:00.000 +0300,59.47161976155465,1.645,3,7.466058046683047,29.513966234807597,70.49000000000001,15.162256006006006,7.696197959322959,0.12553984701639942,0.4962697561146109,2.0308248223092984,0,1,0,0.10486622986622988
LIFT_125,2018-04-01 00:00:00.000 +0300,52.90745832048408,1.645,3,8.091949733824734,32.15185358087663,73.55,13.642173423423424,5.55022368959869,0.15294535006403415,0.6076998329067049,1.6858944842920232,0,1,0,0.10486622986622988
