"scenario_id","months_won","first_win_month","last_win_month","net_ev_in_winner_months","incr_profit_in_winner_months","spend_expected_in_winner_months","budget_in_winner_months","roi_expected_weighted_when_winner","util_expected_weighted_when_winner","any_p95_overspend_in_winner_months","raw_overspend_winner_months","margin","lift_multiplier","shipping_cost_multiplier","budget_rate","months_covered","first_month","last_month","any_p95_overspend_any_month","raw_overspend_months_all","win_rate"
LIFT_125,10,2017-08-01 00:00:00.000 +0300,2018-08-01 00:00:00.000 +0300,65.06876309548184,139.46162038458914,74.39285728910728,468.05271970360184,1.8746641205433217,0.15894119221487946,0,8,0.25,1.25,1.0,0.1,12,2017-08-01 00:00:00.000 +0300,2018-08-01 00:00:00.000 +0300,0,10,0.8333333333333334
MARGIN_30,2,2017-10-01 00:00:00.000 +0300,2017-12-01 00:00:00.000 +0300,2.6997364864864863,12.520885135135135,9.821148648648649,99.44717841305476,1.274890095147675,0.09875743892759248,0,1,0.3,1.0,1.0,0.1,12,2017-08-01 00:00:00.000 +0300,2018-08-01 00:00:00.000 +0300,0,7,0.16666666666666666
